Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions;;;;;;;;
Advan digital,G3,ADVAN_G3,3830MB,Phone,Mediatek MT6750,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
AG Mobile,AG Ultra2,AG_Ultra2,997MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,22,2.0;;;;;;;
AG Mobile,Zoom,Zoom,2936MB,Phone,Mediatek MT6572M,320x480,160,armeabi-v7a;armeabi,19;22,2.0;;;;;;
Aikun,RX300,X300,2018MB,Tablet,Allwinner A83T,1280x800,160,armeabi-v7a;armeabi,22,2.0;;;;;;;
Aiwa,Z9 PLUS,AIWA_Z9_PLUS,1927MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1;;;;;;
Aiwa,AW790,AW790,2861MB,Phone,Mediatek MT6737T,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1;;;;;;
AllView,X4 Soul Infinity Z,X4_Soul_Infinity_ZV,3826MB,Phone,Mediatek MT6750,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
AllView,X4 Soul Infinity Z,X4_Soul_Infinity_Z,3832MB,Phone,Mediatek MT6750,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
AllView,X4 Soul Xtreme,X4_Soul_Xtreme,3851MB,Phone,Mediatek MT6757,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
AllView,P9 Energy,P9_Energy,3824MB,Phone,Mediatek MT6755,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0;;;;;;
AllView,P8 Energy,P8_Energy,1917MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22,3.0;;;;;;
AllView,X3Soul,X3_Soul,2935MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22,3.0;;;;;;
AllView,X3 Soul Plus,X3_Soul_PLUS,3811MB,Phone,Mediatek MT6755,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0;;;;;;
AllView,V1 Viper S4G,V1_Viper_S4G,1879MB,Phone,Qualcomm MSM8226,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
AllView,X4 Soul,X4_Soul,3768MB,Phone,Mediatek MT6755,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0;;;;;;
AllView,P8 Energy Pro,P8_Energy_PRO,2845MB,Phone,Mediatek MT6735,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,22,3.0;;;;;;
AllView,X2 Soul PRO,X2_Soul_PRO,1886MB,Phone,Mediatek MT6752,1080x1900,480,arm64-v8a;armeabi-v7a;armeabi,21,3.0;;;;;;
AllView,X4 Soul Infinity Plus,X4_Soul_Plus,5871MB,Phone,Mediatek MT6757V,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
AllView,X2 Soul Mini,X2_Soul_Mini,952MB,Phone,Mediatek MT6592,720x1280,320,armeabi-v7a;armeabi,19,2.0;;;;;;;
AllView,X2 Soul Xtreme,X2_Soul_Xtreme,2710MB,Phone,Mediatek MT6795,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,22,3.0;;;;;;
AllView,X4 Soul Vision,X4_Soul_Vision,2808MB,Phone,Mediatek MT6750,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
AllView,X4 Soul Infinity N,X4_Soul_Infinity_N,3832MB,Phone,Mediatek MT6750,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
AllView,X4 Soul Style,X4_Soul_Style,3804MB,Phone,Mediatek MT6755,1920x1080,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
AllView, X3 Soul Pro,X3_Soul_PRO,3811MB,Phone,Mediatek MT6755,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0;;;;;;
AllView,X5 Soul Pro,X5_Soul_Pro,3765MB,Phone,Mediatek MT6771,1080x2246,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Altice,ALTICE S70,S70,1821MB,Phone,Mediatek MT6750,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Altice,ALTICE S60,S60,1836MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Amplify,TR10CD3,TR10CD3_2,1979-1984MB,Tablet,Intel Z2580,1280x752,160,x86;armeabi-v7a;armeabi,17;19,2.0;;;;;
Amplify,TR10CD3,TR10CD3_1,1979-1984MB,Tablet,Intel Z2580,1280x752,160,x86;armeabi-v7a;armeabi,17;19,2.0;;;;;
Anydata,Coby MID8065,MID8065,,,Amlogic AML8726-M6,1024x720,160,armeabi-v7a;armeabi,15,2.0;;;;;;;
Anydata,Coby MID1065,MID1065,,,Amlogic AML8726-M6,1280x752,160,armeabi-v7a;armeabi,15,2.0;;;;;;;
Anydata,LePanII,LePanII_wifi,,,Qualcomm APQ8060,1024x720,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Anydata,Grundig GR-TB10S Tablet,GR-TB10S,,,Amlogic AML8726-M6,1280x752,160,armeabi-v7a;armeabi,15,2.0;;;;;;;
Anydata,Coby MID7065,MID7065,,,Amlogic AML8726-M6,1024x552,160,armeabi-v7a;armeabi,15,2.0;;;;;;;
Archos,50 Oxygen,a50ox,952MB,Phone,Mediatek MT6589T,1080x1920,480,armeabi-v7a;armeabi,17,2.0;;;;;;;
Archos,BUSH SPIRA D5.5 Dual Camera,ac55sedcv2,2872MB,Phone,Mediatek MT6737T,1080x1920,400,armeabi-v7a;armeabi,24,3.1;;;;;;;
Archos,50 Helium 4G,a50he,847MB,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,18,3.0;;;;;;;
Archos,50 Diamond,ac50da,1917MB,Phone,Qualcomm MSM8939,1080x1920,480,armeabi-v7a;armeabi,19,3.0;;;;;;;
Archos,50c Oxygen,a50cox,941-947MB,Phone,Mediatek MT6592,720x1280,320,armeabi-v7a;armeabi,17;19,2.0;;;;;;
Archos,Archos Sense 55 S,ac55ses,1866MB,Phone,Mediatek MT6737T,1080x1920,400,armeabi-v7a;armeabi,24,3.1;;;;;;;
Archos,QiLive 101,aqilive101,2019MB,Tablet,Rockchip RK2918,1920x1200,240,armeabi-v7a;armeabi,19,3.0;;;;;;;
Archos,Archos Sense 50 DC,ac50sedc,1882MB,Phone,Mediatek MT6737,720x1280,280,armeabi-v7a;armeabi,24,3.1;;;;;;;
Archos,9.4'' FFF,ac94fff,2019MB,Tablet,Rockchip RK3288,1280x800,160,armeabi-v7a;armeabi,19,3.0;;;;;;;
Archos,Archos Sense 50X,ac50xse,2852MB,Phone,Mediatek MT6737T,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.1;;;;;;
Archos,101 Oxygen,ac101ox,2019MB,Tablet,Rockchip RK3288,1920x1200,240,armeabi-v7a;armeabi,19,3.0;;;;;;;
Archos,Archos Sense 55 DC,ac55sedc,1882MB,Phone,Mediatek MT6737,720x1280,280,armeabi-v7a;armeabi,24,3.1;;;;;;;
Archos,55 Diamond Selfie,ac55diselfie,3636MB,Phone,Qualcomm MSM8937,1080x1920,400,arm64-v8a;armeabi-v7a;armeabi,23,3.1;;;;;;
Artel,U4,U4,1925MB,Phone,Mediatek MT6580,720x1440,320,armeabi-v7a;armeabi,27,2.0;;;;;;;
Ascom Wireless Solutions,Ascom Myco Cellular,myco_gms,997MB,Phone,Freescale i.MX6DL,320x480,160,armeabi-v7a;armeabi,22,2.0;;;;;;;
Asus,ZenFone 3 Ultra (ZU680KL),ASUS_A001,3617-3620MB,Phone,Qualcomm MSM8976,1920x1080,320;360,arm64-v8a;armeabi-v7a;armeabi,23;24,3.1;3.ﬁub;;;
Asus,ZenFone 2 Laser (ZE550KL),ASUS_Z00L_63,1838-1885MB,Phone,Qualcomm MSM8916,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,21;23,3.0;;;;;
Asus,ZenFone 2 Laser (ZE550KL),ASUS_Z00L_93,1837-1884MB,Phone,Qualcomm MSM8939,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,21;23,3.0;3.Oca;;;;
Asus,ZenFone 2 Laser (ZE550KL),ASUS_Z00L_63C,894MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Asus,ZenFone 2 Laser (ZE550KL),ASUS_Z00L_63A,1838-1885MB,Phone,Qualcomm MSM8916,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,21;23,3.0;;;;;
Asus,ZenFone Selfie (ZD551KL),ASUS_Z00U_1,2778-2873MB,Phone,Qualcomm MSM8939,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,21;23,3.0;3.Oca;;;;
Asus,ZenFone Selfie (ZD551KL),ASUS_Z00U_2,2778-2873MB,Phone,Qualcomm MSM8939,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,21;23,3.0;3.Oca;;;;
Asus,ZenFone Max M1 (ZB555KL),ASUS_X00P_3,2860MB,Phone,Qualcomm MSM8937,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,26,3.2;;;;;;
Asus,ZenFone Max M1 (ZB555KL),ASUS_X00P_2,2860MB,Phone,Qualcomm MSM8937,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,26,3.2;;;;;;
Asus,ZenFone Max M1 (ZB555KL),ASUS_X00P_6,2860MB,Phone,Qualcomm MSM8937,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,26,3.2;;;;;;
Asus,ZenFone Max M1 (ZB555KL),ASUS_X00P_1,1855MB,Phone,Qualcomm MSM8917,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,26,3.0;;;;;;
Asus,Chromebook Flip C101PA,bob_cheets,3813MB,PC,Rockchip RK3399,1280x800,160,armeabi-v7a;armeabi,25,3.1;;;;;;;
Asus,ZenFone 3 (ZE552KL),ASUS_Z012D,3606-3607MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;;
Asus,PadFone X (A91),ASUS-T00D,1854MB,Phone,Qualcomm MSM8974AB,1080x1920,240,armeabi-v7a;armeabi,19,3.0;;;;;;;
Asus,TF700T,TF700T,969-970MB,Tablet,NVidia Tegra 3 T33,1920x1200,240,armeabi-v7a;armeabi,15;16;17,2.0;;;;;
Asus,ZenFone 4 Selfie (ZD553KL),ASUS_X00LD_1,3614MB,Phone,Qualcomm MSM8937,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Asus,ZenFone 5 Lite (ZC600KL),ASUS_X017D_2,3751MB,Phone,Qualcomm SDM630,1080x2004,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Asus,ZenFone 5 Lite (ZC600KL),ASUS_X017D_1,2751MB,Phone,Qualcomm MSM8937,1080x2004,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Asus,PadFone 2,A68,456-1819MB,Phone,Qualcomm APQ8064,720x1280,160;320,armeabi-v7a;armeabi,15;16;19,2.0;3.0;;;
Asus,È£õÈ¶¨2 Plus (T550KLC),ASUS_X550,2898MB,Phone,Qualcomm MSM8939,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,22,3.0;;;;;;
Asus,Fonepad Note 6 (ME560CG),K00G,1979-1984MB,Phone,Intel Z2580,1080x1920,480,x86;armeabi-v7a;armeabi,17;19,2.0;;;;;
Asus,Transformer Book Trio,TX201LA,1979MB,Tablet,Intel Z2560,1920x1080,240,x86;armeabi-v7a;armeabi,17,2.0;;;;;;
Asus,ZenFone 2 Laser (ZE550KG),ASUS_Z00W_63,1838MB,Phone,Qualcomm MSM8916,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,21,3.0;;;;;;
